name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_9_0.5.gml;9;18;0.5;brute_force;0.75;6;False;-1;0.0;273;84
graph_9_0.25.gml;9;9;0.25;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_9_0.25.gml;9;9;0.25;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_9_0.25.gml;9;9;0.25;brute_force;0.5;4;True;(11, 68):(99, 95):(64, 8):(30, 2);0.0;71;25
graph_9_0.25.gml;9;9;0.25;brute_force;0.75;6;False;-1;0.001207113265991211;436;84
graph_9_0.75.gml;9;27;0.75;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_9_0.75.gml;9;27;0.75;brute_force;0.25;2;True;(30, 2):(100, 6);0.0;20;9
graph_9_0.75.gml;9;27;0.75;brute_force;0.5;4;False;-1;0.0;277;126
graph_9_0.75.gml;9;27;0.75;brute_force;0.75;6;False;-1;0.001001119613647461;174;84
graph_9_0.125.gml;9;4;0.125;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_9_0.125.gml;9;4;0.125;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_9_0.125.gml;9;4;0.125;brute_force;0.5;4;True;(11, 68):(99, 95):(51, 100):(30, 2);0.0;56;22
graph_9_0.125.gml;9;4;0.125;brute_force;0.75;6;True;(99, 58):(1, 29):(100, 6):(51, 100):(99, 95):(30, 2);0.0;292;62
graph_10_0.5.gml;10;22;0.5;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_10_0.5.gml;10;22;0.5;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_10_0.5.gml;10;22;0.5;brute_force;0.5;5;False;-1;0.0;665;252
graph_10_0.5.gml;10;22;0.5;brute_force;0.75;7;False;-1;0.0;287;120
graph_10_0.25.gml;10;11;0.25;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_10_0.25.gml;10;11;0.25;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_10_0.25.gml;10;11;0.25;brute_force;0.5;5;True;(1, 29):(100, 6):(63, 50):(51, 100):(99, 95);0.0;398;141
graph_10_0.25.gml;10;11;0.25;brute_force;0.75;7;False;-1;0.0010166168212890625;396;120
graph_10_0.75.gml;10;33;0.75;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_10_0.75.gml;10;33;0.75;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_10_0.75.gml;10;33;0.75;brute_force;0.5;5;False;-1;0.0;571;252
graph_10_0.75.gml;10;33;0.75;brute_force;0.75;7;False;-1;0.0;264;120
graph_10_0.125.gml;10;5;0.125;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_10_0.125.gml;10;5;0.125;brute_force;0.25;2;True;(11, 68):(100, 6);0.0;2;-1
graph_10_0.125.gml;10;5;0.125;brute_force;0.5;5;True;(11, 68):(100, 6):(63, 50):(51, 100):(99, 95);0.0;35;6
graph_10_0.125.gml;10;5;0.125;brute_force;0.75;7;True;(11, 68):(99, 58):(1, 29):(100, 6):(63, 50):(51, 100):(99, 95);0.0;102;20
graph_11_0.5.gml;11;27;0.5;brute_force;0.125;1;True;(11, 68);0.00099945068359375;1;-1
graph_11_0.5.gml;11;27;0.5;brute_force;0.25;2;True;(11, 68):(99, 58);0.0;14;6
graph_11_0.5.gml;11;27;0.5;brute_force;0.5;5;False;-1;0.0009996891021728516;1267;462
graph_11_0.5.gml;11;27;0.5;brute_force;0.75;8;False;-1;0.0;425;165
graph_11_0.25.gml;11;13;0.25;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_11_0.25.gml;11;13;0.25;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_11_0.25.gml;11;13;0.25;brute_force;0.5;5;True;(11, 68):(1, 29):(51, 100):(99, 95):(30, 2);0.0;203;90
graph_11_0.25.gml;11;13;0.25;brute_force;0.75;8;False;-1;0.0;542;165
graph_11_0.75.gml;11;41;0.75;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_11_0.75.gml;11;41;0.75;brute_force;0.25;2;True;(11, 68):(99, 58);0.0;14;6
graph_11_0.75.gml;11;41;0.75;brute_force;0.5;5;False;-1;0.0;1069;462
graph_11_0.75.gml;11;41;0.75;brute_force;0.75;8;False;-1;0.0;367;165
graph_11_0.125.gml;11;6;0.125;brute_force;0.125;1;True;(11, 68);0.001001119613647461;1;-1
graph_11_0.125.gml;11;6;0.125;brute_force;0.25;2;True;(11, 68):(99, 95);0.0;4;1
graph_11_0.125.gml;11;6;0.125;brute_force;0.5;5;True;(11, 68):(63, 50):(51, 100):(99, 95):(30, 2);0.0;179;84
graph_11_0.125.gml;11;6;0.125;brute_force;0.75;8;True;(11, 68):(99, 58):(1, 29):(63, 50):(51, 100):(1, 100):(99, 95):(30, 2);0.0;219;86
graph_12_0.5.gml;12;33;0.5;brute_force;0.125;1;True;(11, 68);0.0;1;-1
graph_12_0.5.gml;12;33;0.5;brute_force;0.25;3;True;(11, 68):(63, 50):(100, 6);0.0;12;2
graph_12_0.5.gml;12;33;0.5;brute_force;0.5;6;False;-1;0.0;3520;924
