name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_17_0.125.gml;17;17;0.125;clever;0.125;2;True;(99, 95):(30, 2);0.001016855239868164
graph_17_0.125.gml;17;17;0.125;clever;0.25;4;True;(63, 50):(30, 2):(51, 100):(99, 95);0.0
graph_17_0.125.gml;17;17;0.125;clever;0.5;8;True;(63, 50):(99, 95):(72, 79):(51, 100):(41, 72):(1, 100):(1, 29):(30, 2);0.0
graph_17_0.125.gml;17;17;0.125;clever;0.75;12;False;-1;0.0
graph_17_0.25.gml;17;34;0.25;clever;0.125;2;True;(63, 50):(64, 8);0.0
graph_17_0.25.gml;17;34;0.25;clever;0.25;4;True;(3, 1):(30, 2):(64, 8):(63, 50);0.0009987354278564453
graph_17_0.25.gml;17;34;0.25;clever;0.5;8;True;(63, 50):(27, 93):(33, 37):(3, 1):(99, 95):(84, 31):(64, 8):(30, 2);0.0010063648223876953
graph_17_0.25.gml;17;34;0.25;clever;0.75;12;False;-1;0.0009958744049072266
graph_17_0.5.gml;17;68;0.5;clever;0.125;2;True;(11, 68):(72, 79);0.0009806156158447266
graph_17_0.5.gml;17;68;0.5;clever;0.25;4;True;(3, 1):(51, 100):(11, 68):(72, 79);0.0029993057250976562
graph_17_0.5.gml;17;68;0.5;clever;0.5;8;False;-1;0.002000093460083008
graph_17_0.5.gml;17;68;0.5;clever;0.75;12;False;-1;0.0010027885437011719
graph_17_0.75.gml;17;102;0.75;clever;0.125;2;True;(3, 1):(11, 68);0.003000020980834961
graph_17_0.75.gml;17;102;0.75;clever;0.25;4;False;-1;0.0030019283294677734
graph_17_0.75.gml;17;102;0.75;clever;0.5;8;False;-1;0.0020003318786621094
graph_17_0.75.gml;17;102;0.75;clever;0.75;12;False;-1;0.00099945068359375
graph_18_0.125.gml;18;19;0.125;clever;0.125;2;True;(11, 68):(99, 58);0.0
graph_18_0.125.gml;18;19;0.125;clever;0.25;4;True;(11, 68):(33, 37):(1, 100):(99, 58);0.001001119613647461
graph_18_0.125.gml;18;19;0.125;clever;0.5;9;True;(11, 68):(41, 72):(13, 46):(99, 58):(1, 29):(33, 37):(1, 100):(27, 93):(84, 31);0.0009996891021728516
graph_18_0.125.gml;18;19;0.125;clever;0.75;13;False;-1;0.0010008811950683594
graph_18_0.25.gml;18;38;0.25;clever;0.125;2;True;(63, 50):(41, 72);0.0
graph_18_0.25.gml;18;38;0.25;clever;0.25;4;True;(63, 50):(72, 79):(41, 72):(100, 6);0.0009996891021728516
graph_18_0.25.gml;18;38;0.25;clever;0.5;9;False;-1;0.0019981861114501953
graph_18_0.25.gml;18;38;0.25;clever;0.75;13;False;-1;0.0010082721710205078
graph_18_0.5.gml;18;76;0.5;clever;0.125;2;True;(11, 68):(41, 72);0.0009975433349609375
graph_18_0.5.gml;18;76;0.5;clever;0.25;4;True;(11, 68):(72, 79):(41, 72):(100, 6);0.0029973983764648438
graph_18_0.5.gml;18;76;0.5;clever;0.5;9;False;-1;0.002000093460083008
graph_18_0.5.gml;18;76;0.5;clever;0.75;13;False;-1;0.0009992122650146484
graph_18_0.75.gml;18;114;0.75;clever;0.125;2;True;(11, 68):(41, 72);0.0030014514923095703
graph_18_0.75.gml;18;114;0.75;clever;0.25;4;False;-1;0.002999544143676758
graph_18_0.75.gml;18;114;0.75;clever;0.5;9;False;-1;0.0019919872283935547
graph_18_0.75.gml;18;114;0.75;clever;0.75;13;False;-1;0.0010399818420410156
graph_19_0.125.gml;19;21;0.125;clever;0.125;2;True;(63, 50):(99, 58);0.0
graph_19_0.125.gml;19;21;0.125;clever;0.25;4;True;(63, 50):(99, 95):(41, 72):(99, 58);0.0
graph_19_0.125.gml;19;21;0.125;clever;0.5;9;True;(11, 68):(27, 93):(41, 72):(13, 46):(99, 58):(100, 6):(63, 50):(99, 95):(30, 2);0.00099945068359375
graph_19_0.125.gml;19;21;0.125;clever;0.75;14;False;-1;0.0009984970092773438
graph_19_0.25.gml;19;42;0.25;clever;0.125;2;True;(11, 68):(41, 72);0.0020036697387695312
graph_19_0.25.gml;19;42;0.25;clever;0.25;4;True;(11, 68):(41, 72):(99, 58):(100, 6);0.00299835205078125
graph_19_0.25.gml;19;42;0.25;clever;0.5;9;True;(11, 68):(99, 58):(13, 46):(41, 72):(100, 6):(63, 50):(51, 100):(99, 95):(30, 2);0.003999471664428711
graph_19_0.25.gml;19;42;0.25;clever;0.75;14;False;-1;0.0015423297882080078
graph_19_0.5.gml;19;85;0.5;clever;0.125;2;True;(11, 68):(72, 79);0.005016803741455078
graph_19_0.5.gml;19;85;0.5;clever;0.25;4;True;(11, 68):(72, 79):(99, 58):(71, 100);0.007024526596069336
graph_19_0.5.gml;19;85;0.5;clever;0.5;9;False;-1;0.001995086669921875
graph_19_0.5.gml;19;85;0.5;clever;0.75;14;False;-1;0.0009667873382568359
graph_19_0.75.gml;19;128;0.75;clever;0.125;2;True;(11, 68):(13, 46);0.003997325897216797
graph_19_0.75.gml;19;128;0.75;clever;0.25;4;True;(1, 29):(64, 8):(47, 21):(72, 79);0.004000186920166016
graph_19_0.75.gml;19;128;0.75;clever;0.5;9;False;-1;0.002009868621826172
graph_19_0.75.gml;19;128;0.75;clever;0.75;14;False;-1;0.0019834041595458984
graph_20_0.125.gml;20;23;0.125;clever;0.125;2;True;(11, 68):(30, 2);0.0
graph_20_0.125.gml;20;23;0.125;clever;0.25;5;True;(11, 68):(99, 58):(30, 2):(84, 31):(64, 8);0.0
graph_20_0.125.gml;20;23;0.125;clever;0.5;10;True;(11, 68):(99, 58):(13, 46):(71, 100):(3, 1):(33, 37):(27, 93):(84, 31):(64, 8):(30, 2);0.0009992122650146484
