name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_132_0.125.gml;132;1080;0.125;greedy_v1;0.5;66;False;-1;0.002999544143676758;7569;30
graph_132_0.125.gml;132;1080;0.125;greedy_v1;0.75;99;False;-1;0.002999544143676758;7569;30
graph_133_0.5.gml;133;4389;0.5;greedy_v1;0.125;16;False;-1;0.009000301361083984;10650;9
graph_133_0.5.gml;133;4389;0.5;greedy_v1;0.25;33;False;-1;0.008999347686767578;10650;9
graph_133_0.5.gml;133;4389;0.5;greedy_v1;0.5;66;False;-1;0.009999752044677734;10650;9
graph_133_0.5.gml;133;4389;0.5;greedy_v1;0.75;99;False;-1;0.009000062942504883;10650;9
graph_133_0.25.gml;133;2194;0.25;greedy_v1;0.125;16;True;(11, 1):(37, 55):(80, 46):(64, 91):(47, 65):(73, 68):(41, 72):(19, 34):(15, 87):(54, 47):(82, 1):(58, 19):(35, 28):(30, 2):(84, 53):(91, 76);0.003999233245849609;8875;17
graph_133_0.25.gml;133;2194;0.25;greedy_v1;0.25;33;False;-1;0.004999876022338867;8875;17
graph_133_0.25.gml;133;2194;0.25;greedy_v1;0.5;66;False;-1;0.0050008296966552734;8875;17
graph_133_0.25.gml;133;2194;0.25;greedy_v1;0.75;99;False;-1;0.004999399185180664;8875;17
graph_133_0.75.gml;133;6583;0.75;greedy_v1;0.125;16;False;-1;0.01399993896484375;12843;6
graph_133_0.75.gml;133;6583;0.75;greedy_v1;0.25;33;False;-1;0.014999151229858398;12843;6
graph_133_0.75.gml;133;6583;0.75;greedy_v1;0.5;66;False;-1;0.012998819351196289;12843;6
graph_133_0.75.gml;133;6583;0.75;greedy_v1;0.75;99;False;-1;0.012000322341918945;12843;6
graph_133_0.125.gml;133;1097;0.125;greedy_v1;0.125;16;True;(57, 1):(25, 46):(10, 37):(5, 50):(73, 68):(54, 29):(80, 16):(17, 73):(51, 100):(61, 57):(58, 19):(24, 77):(48, 3):(80, 83):(84, 53):(19, 34);0.0029976367950439453;7339;17
graph_133_0.125.gml;133;1097;0.125;greedy_v1;0.25;33;False;-1;0.0030002593994140625;7777;28
graph_133_0.125.gml;133;1097;0.125;greedy_v1;0.5;66;False;-1;0.004000425338745117;7777;28
graph_133_0.125.gml;133;1097;0.125;greedy_v1;0.75;99;False;-1;0.003002166748046875;7777;28
graph_134_0.5.gml;134;4455;0.5;greedy_v1;0.125;16;False;-1;0.009999990463256836;10938;9
graph_134_0.5.gml;134;4455;0.5;greedy_v1;0.25;33;False;-1;0.008999109268188477;10938;9
graph_134_0.5.gml;134;4455;0.5;greedy_v1;0.5;67;False;-1;0.007999658584594727;10938;9
graph_134_0.5.gml;134;4455;0.5;greedy_v1;0.75;100;False;-1;0.009000062942504883;10938;9
graph_134_0.25.gml;134;2227;0.25;greedy_v1;0.125;16;False;-1;0.005000114440917969;9094;16
graph_134_0.25.gml;134;2227;0.25;greedy_v1;0.25;33;False;-1;0.004000425338745117;9094;16
graph_134_0.25.gml;134;2227;0.25;greedy_v1;0.5;67;False;-1;0.005000114440917969;9094;16
graph_134_0.25.gml;134;2227;0.25;greedy_v1;0.75;100;False;-1;0.004999637603759766;9094;16
graph_134_0.75.gml;134;6683;0.75;greedy_v1;0.125;16;False;-1;0.014000654220581055;13214;5
graph_134_0.75.gml;134;6683;0.75;greedy_v1;0.25;33;False;-1;0.01199960708618164;13214;5
graph_134_0.75.gml;134;6683;0.75;greedy_v1;0.5;67;False;-1;0.013999700546264648;13214;5
graph_134_0.75.gml;134;6683;0.75;greedy_v1;0.75;100;False;-1;0.011998891830444336;13214;5
graph_134_0.125.gml;134;1113;0.125;greedy_v1;0.125;16;True;(10, 11):(73, 68):(3, 1):(41, 87):(34, 80):(80, 16):(24, 77):(21, 66):(33, 37):(10, 19):(80, 83):(99, 95):(25, 46):(48, 3):(33, 88):(100, 24);0.004000186920166016;7615;17
graph_134_0.125.gml;134;1113;0.125;greedy_v1;0.25;33;False;-1;0.002999544143676758;7966;27
graph_134_0.125.gml;134;1113;0.125;greedy_v1;0.5;67;False;-1;0.003000497817993164;7966;27
graph_134_0.125.gml;134;1113;0.125;greedy_v1;0.75;100;False;-1;0.002999544143676758;7966;27
graph_135_0.5.gml;135;4522;0.5;greedy_v1;0.125;16;False;-1;0.007999420166015625;10785;9
graph_135_0.5.gml;135;4522;0.5;greedy_v1;0.25;33;False;-1;0.012001276016235352;10785;9
